countryid,value
541,66761.16523708808
311,64205.4200182946
540,58601.801537844505
539,136993.1655368341
310,96649.92813813208
314,370017.81215200323
524,360785.0295768628
523,168857.93191414137
309,275515.760443717
318,88837.53640599997
316,167634.07265831955
307,88076.61408421704
313,257350.7804309871
317,33422.066572738855
526,80856.04368423886
525,81922.249729993
306,221713.72848523877
505,49138.778567712405
312,244399.17928264162
315,227653.11742676244
528,252503.88310021407
2346,82892.15725161089
2343,70234.42071458326
486,500078.4349245859
504,563308.7349015749
2342,159860.87785164526
308,359969.0328120392
481,340896.731952461
483,316021.24966999306
527,227364.58361575156
511,135358.06550768978
492,112055.0096132918
512,132048.31026122914
484,229183.11293567016
491,541750.8952113184
2345,154065.27164717324
535,163124.05179919722
2344,97636.4448998507
482,249678.2670367979
479,414533.34419447224
2348,49464.32867105003
477,1156586.0259114243
485,449738.15697614197
538,668806.2511164858
493,115269.82013520593
320,296634.90971423173
478,542686.3881625427
513,404345.76187641936
533,308114.24293447635
498,111822.22382823145
502,218088.70214645282
506,243901.97412477396
2347,60976.40049512511
322,429648.9606166135
534,289247.7461604282
510,259170.82792592983
2335,192927.76655740247
509,151889.94925570057
2341,75444.63584270456
480,264505.25423623755
503,323227.5645993729
532,373571.20068180707
530,451037.1246509931
529,682837.5950699716
2337,217808.89251617537
499,1186768.9505140518
536,557596.2477234163
507,764886.4537812716
495,215133.13898560102
496,70732.04513998015
494,444794.6911139218
497,347690.06914666685
329,104330.76366235942
531,422438.37385148444
469,457772.4919218886
471,160417.5831345377
466,390344.7513792813
508,329622.18435572996
489,220098.4090558126
2340,72124.87456048465
470,139313.25844550697
2339,237000.97054732437
537,696367.1420500006
465,598377.8970556539
319,247739.95532857362
452,266537.5762824644
515,703383.6122559377
2266,333023.70671384106
500,361385.2958270185
467,218692.93669436578
323,226821.60013492938
454,632284.9074906791
501,310042.45633777627
468,536942.576905454
321,294052.57115194324
451,224666.6534744049
464,3884317.6271546423
473,586502.7520359732
518,359243.6883084034
490,330436.18858280114
514,82635.8954428153
455,397385.12030753045
474,884631.0526041647
472,216043.77294736163
297,85503.02360345717
296,272732.23706804845
475,544919.2748080705
520,440227.44704534067
488,192513.60710089406
2278,220692.5670383518
446,168132.52322395946
450,750504.6145760202
326,55972.64591598188
447,1049563.8708761605
476,632749.80572427
487,706477.4201978936
2283,70038.14707251595
2281,245551.92522540092
2338,911261.644427721
2277,250839.31938668102
2276,228703.8529202243
2273,772419.1516512418
330,83953.30046589942
2336,576013.6344426253
453,335170.15892780054
449,264153.93253819767
418,1038145.7614547497
2282,162576.3323427003
2280,62905.19221465308
2271,64618.59292440954
327,30300.739687557783
281,237512.52435660065
522,321150.92569174024
2275,174942.20187410072
2274,90915.51218223888
2279,130740.43496918786
325,223458.6246610918
416,972569.227823632
2329,319262.28711439547
2325,74425.41735327411
282,280777.09137367515
419,769671.5193844546
516,676417.4856863398
448,537892.7817082797
424,578763.3929316152
517,219873.82485297753
291,524796.7893385137
417,716579.6750014675
458,430567.1446105689
519,33662.09171870028
2327,379103.4887020405
2349,55246.595982173174
283,181494.69980758918
521,408816.924120694
2334,153763.13970667156
2272,25637.571773982363
284,168350.06081965522
421,505760.180010608
285,232513.76300591865
293,297134.49893238
430,356400.391416002
429,964250.3084634766
420,1494532.3784949565
422,383358.5438990349
2265,3711248.3655652986
415,3495365.363193809
462,205080.9592418539
2328,803427.0791946097
2326,36435.647917832284
290,890900.4153891816
2270,580775.7619393197
324,13927.566740811804
328,102858.0925921047
292,532613.8460203018
427,842613.3307145064
2330,191866.40507268312
2331,293849.6382788638
2267,366111.6329027571
428,471241.57794751547
2290,174559.41493562574
2268,223902.86943239538
295,413481.80613827467
459,145235.80623587745
2332,186472.10906690764
2333,192826.9756146403
286,396267.1205086496
402,1349273.569695001
425,435324.9191590893
423,335905.4912448203
463,210554.17630583447
460,331369.8020124299
2269,136497.82097163345
346,147989.59876031667
294,133421.49990302316
426,60682.91672279614
433,576849.9159103179
432,482639.7986750488
456,248835.39836095055
457,102271.73880812402
334,62903.17323813095
401,407698.17558448145
333,38612.03375847417
289,487252.4358343146
359,330704.7799233383
438,494819.5458780651
404,585364.4988110941
431,41158.95717787711
461,293015.1587755493
2291,60609.13820718928
2145,49129.33593285669
356,32785.6591016482
392,355905.79455182946
436,190635.21225214988
442,186543.32461667995
441,211980.95585474497
278,120862.26135843924
332,27719.44989704729
280,728866.6131279209
2298,260022.81787541055
2295,406618.33961789263
335,77737.63443699191
127,427259.9229818593
360,617122.1224485807
2285,140162.06020723842
391,1256456.3926942062
403,61873.726174473384
400,731248.4652502475
437,339185.0928278265
351,121055.14340363689
