country position,Hazard,starttime,endtime,Intensity
1,extreme wind,2013-04-07,2013-04-09,23.0
1,heatwave,2014-03-15,2014-04-02,288.0
1,extreme wind,2010-03-16,2010-03-22,24.0
1,heatwave,2013-03-03,2013-03-18,292.0
1,heatwave,2007-08-11,2007-08-25,300.0
1,extreme wind,2017-05-01,2017-05-07,24.0
1,extreme wind,2011-04-16,2011-04-18,17.0
1,extreme wind,2010-03-15,2010-03-15,20.0
1,flood,2010-07-23,2010-08-03,2.0
1,extreme wind,2012-03-28,2012-03-30,18.0
1,heatwave,2010-09-07,2010-09-17,296.0
1,extreme wind,2008-05-25,2008-05-29,17.0
2,heatwave,2014-03-15,2014-04-02,288.0
2,extreme wind,2017-05-01,2017-05-07,24.0
2,heatwave,2007-08-11,2007-08-25,300.0
2,extreme wind,2013-04-07,2013-04-09,23.0
2,extreme wind,2012-03-28,2012-03-30,18.0
2,heatwave,2010-09-07,2010-09-17,296.0
2,flood,2010-07-23,2010-08-03,2.0
2,extreme wind,2010-03-16,2010-03-22,24.0
2,extreme wind,2008-05-25,2008-05-29,17.0
2,extreme wind,2011-04-16,2011-04-18,17.0
3,heatwave,2014-03-15,2014-04-02,288.0
3,heatwave,2007-08-11,2007-08-25,300.0
3,extreme wind,2017-05-01,2017-05-07,24.0
3,extreme wind,2011-04-16,2011-04-18,17.0
3,extreme wind,2008-05-25,2008-05-29,17.0
3,extreme wind,2012-03-28,2012-03-30,18.0
3,extreme wind,2010-03-16,2010-03-22,24.0
4,heatwave,2014-03-15,2014-04-02,288.0
4,heatwave,2007-08-11,2007-08-25,300.0
4,extreme wind,2017-05-01,2017-05-07,24.0
4,extreme wind,2010-03-15,2010-03-15,20.0
4,extreme wind,2015-10-01,2015-10-03,21.0
4,extreme wind,2008-05-25,2008-05-29,17.0
4,extreme wind,2012-03-28,2012-03-30,18.0
4,heatwave,2010-09-07,2010-09-17,296.0
4,extreme wind,2010-03-16,2010-03-22,24.0
4,extreme wind,2011-04-16,2011-04-18,17.0
5,heatwave,2014-03-15,2014-04-02,288.0
5,extreme wind,2017-05-01,2017-05-07,24.0
5,extreme wind,2011-04-16,2011-04-18,17.0
5,extreme wind,2010-03-15,2010-03-15,20.0
5,extreme wind,2008-05-25,2008-05-29,17.0
5,extreme wind,2012-03-28,2012-03-30,18.0
5,heatwave,2013-03-03,2013-03-18,292.0
5,heatwave,2007-08-11,2007-08-25,300.0
5,heatwave,2010-09-07,2010-09-17,296.0
5,extreme wind,2010-03-16,2010-03-22,24.0
5,flood,2010-07-23,2010-08-03,2.0
5,extreme wind,2013-04-07,2013-04-09,23.0
6,heatwave,2014-03-15,2014-04-02,288.0
6,heatwave,2007-08-11,2007-08-25,300.0
6,extreme wind,2017-05-01,2017-05-07,24.0
6,extreme wind,2008-05-25,2008-05-29,17.0
6,extreme wind,2010-03-15,2010-03-15,20.0
6,extreme wind,2012-03-28,2012-03-30,18.0
6,flood,2010-07-23,2010-08-03,2.0
6,extreme wind,2010-03-16,2010-03-22,24.0
6,heatwave,2010-09-07,2010-09-17,296.0
6,extreme wind,2011-04-16,2011-04-18,17.0
6,extreme wind,2015-10-01,2015-10-03,21.0
7,heatwave,2014-03-15,2014-04-02,288.0
7,heatwave,2007-08-11,2007-08-25,300.0
7,extreme wind,2010-03-16,2010-03-22,24.0
7,extreme wind,2013-04-07,2013-04-09,23.0
7,heatwave,2007-01-03,2007-02-13,290.0
7,extreme wind,2017-05-01,2017-05-07,24.0
7,extreme wind,2011-04-16,2011-04-18,17.0
7,heatwave,2010-09-07,2010-09-17,296.0
7,flood,2010-07-23,2010-08-03,2.0
7,extreme wind,2010-03-15,2010-03-15,20.0
7,extreme wind,2012-03-28,2012-03-30,18.0
7,heatwave,2013-03-03,2013-03-18,292.0
7,extreme wind,2008-05-25,2008-05-29,17.0
8,heatwave,2014-03-15,2014-04-02,288.0
8,extreme wind,2011-04-16,2011-04-18,17.0
8,extreme wind,2017-05-01,2017-05-07,24.0
8,heatwave,2005-04-04,2005-04-08,292.0
8,heatwave,2007-01-03,2007-02-13,290.0
8,extreme wind,2004-03-15,2004-03-17,16.0
8,extreme wind,2012-03-28,2012-03-30,18.0
8,flood,2010-07-23,2010-08-03,2.0
8,extreme wind,2010-03-15,2010-03-15,20.0
8,extreme wind,2008-05-25,2008-05-29,17.0
9,heatwave,2014-03-15,2014-04-02,288.0
9,extreme wind,2012-03-28,2012-03-30,18.0
9,heatwave,2007-01-03,2007-02-13,290.0
9,heatwave,2007-08-11,2007-08-25,300.0
9,extreme wind,2008-05-25,2008-05-29,17.0
9,extreme wind,2011-04-16,2011-04-18,17.0
9,extreme wind,2010-03-15,2010-03-15,20.0
9,extreme wind,2017-05-01,2017-05-07,24.0
9,extreme wind,2010-03-16,2010-03-22,24.0
9,heatwave,2005-04-04,2005-04-08,292.0
10,heatwave,2014-03-15,2014-04-02,288.0
10,extreme wind,2010-03-15,2010-03-15,20.0
10,extreme wind,2017-05-01,2017-05-07,24.0
10,extreme wind,2012-03-28,2012-03-30,18.0
10,heatwave,2007-01-03,2007-02-13,290.0
10,extreme wind,2011-04-16,2011-04-18,17.0
10,heatwave,2005-04-04,2005-04-08,292.0
11,heatwave,2014-03-15,2014-04-02,288.0
11,heatwave,2007-01-03,2007-02-13,290.0
11,heatwave,2005-04-04,2005-04-08,292.0
11,extreme wind,2017-05-01,2017-05-07,24.0
11,extreme wind,2012-03-28,2012-03-30,18.0
11,extreme wind,2010-03-15,2010-03-15,20.0
11,heatwave,2010-09-07,2010-09-17,296.0
12,heatwave,2014-03-15,2014-04-02,288.0
12,extreme wind,2017-05-01,2017-05-07,24.0
12,extreme wind,2011-04-16,2011-04-18,17.0
12,extreme wind,2010-03-16,2010-03-22,24.0
12,extreme wind,2010-03-15,2010-03-15,20.0
12,extreme wind,2008-05-25,2008-05-29,17.0
12,heatwave,2007-01-03,2007-02-13,290.0
12,extreme wind,2012-03-28,2012-03-30,18.0
12,flood,2010-07-23,2010-08-03,2.0
12,extreme wind,2004-03-15,2004-03-17,16.0
12,heatwave,2005-04-04,2005-04-08,292.0
13,heatwave,2014-03-15,2014-04-02,288.0
13,extreme wind,2010-03-16,2010-03-22,24.0
13,extreme wind,2015-10-01,2015-10-03,21.0
13,extreme wind,2017-05-01,2017-05-07,24.0
13,extreme wind,2010-03-15,2010-03-15,20.0
13,extreme wind,2011-04-16,2011-04-18,17.0
13,extreme wind,2012-03-28,2012-03-30,18.0
13,heatwave,2010-09-07,2010-09-17,296.0
14,extreme wind,2013-04-07,2013-04-09,23.0
14,extreme wind,2017-05-01,2017-05-07,24.0
14,extreme wind,2004-03-15,2004-03-17,16.0
14,extreme wind,2011-04-16,2011-04-18,17.0
14,extreme wind,2010-03-16,2010-03-22,24.0
14,heatwave,2005-04-04,2005-04-08,292.0
14,extreme wind,2012-03-28,2012-03-30,18.0
15,heatwave,2014-03-15,2014-04-02,288.0
15,extreme wind,2017-05-01,2017-05-07,24.0
15,extreme wind,2013-04-07,2013-04-09,23.0
15,extreme wind,2011-04-16,2011-04-18,17.0
15,extreme wind,2012-03-28,2012-03-30,18.0
15,heatwave,2005-04-04,2005-04-08,292.0
15,flood,2010-07-23,2010-08-03,2.0
15,heatwave,2013-03-03,2013-03-18,292.0
15,extreme wind,2010-03-16,2010-03-22,24.0
16,extreme wind,2010-03-16,2010-03-22,24.0
16,extreme wind,2017-05-01,2017-05-07,24.0
16,extreme wind,2013-04-07,2013-04-09,23.0
16,extreme wind,2012-03-28,2012-03-30,18.0
16,extreme wind,2004-03-15,2004-03-17,16.0
16,extreme wind,2011-04-16,2011-04-18,17.0
16,heatwave,2005-04-04,2005-04-08,292.0
17,heatwave,2014-03-15,2014-04-02,288.0
17,extreme wind,2017-05-01,2017-05-07,24.0
17,extreme wind,2010-03-16,2010-03-22,24.0
17,extreme wind,2013-04-07,2013-04-09,23.0
17,heatwave,2005-04-04,2005-04-08,292.0
17,extreme wind,2012-03-28,2012-03-30,18.0
17,extreme wind,2011-04-16,2011-04-18,17.0
17,extreme wind,2004-03-15,2004-03-17,16.0
18,extreme wind,2010-03-16,2010-03-22,24.0
18,heatwave,2014-03-15,2014-04-02,288.0
18,extreme wind,2017-05-01,2017-05-07,24.0
18,flood,2010-07-23,2010-08-03,2.0
18,extreme wind,2008-05-25,2008-05-29,17.0
18,extreme wind,2013-04-07,2013-04-09,23.0
18,extreme wind,2012-03-28,2012-03-30,18.0
18,extreme wind,2004-03-15,2004-03-17,16.0
18,extreme wind,2011-04-16,2011-04-18,17.0
19,heatwave,2014-03-15,2014-04-02,288.0
19,extreme wind,2017-05-01,2017-05-07,24.0
19,flood,2010-07-23,2010-08-03,2.0
19,extreme wind,2012-03-28,2012-03-30,18.0
19,extreme wind,2011-04-16,2011-04-18,17.0
19,extreme wind,2013-04-07,2013-04-09,23.0
19,extreme wind,2004-03-15,2004-03-17,16.0
19,extreme wind,2010-03-16,2010-03-22,24.0
19,extreme wind,2008-05-25,2008-05-29,17.0
20,heatwave,2014-03-15,2014-04-02,288.0
20,extreme wind,2004-03-15,2004-03-17,16.0
20,extreme wind,2017-05-01,2017-05-07,24.0
20,extreme wind,2011-04-16,2011-04-18,17.0
20,extreme wind,2012-03-28,2012-03-30,18.0
20,extreme wind,2013-04-07,2013-04-09,23.0
20,extreme wind,2010-03-16,2010-03-22,24.0
20,heatwave,2005-04-04,2005-04-08,292.0
21,extreme wind,2012-03-28,2012-03-30,18.0
21,extreme wind,2011-04-16,2011-04-18,17.0
21,extreme wind,2013-04-07,2013-04-09,23.0
21,extreme wind,2010-03-16,2010-03-22,24.0
21,extreme wind,2004-03-15,2004-03-17,16.0
21,heatwave,2005-04-04,2005-04-08,292.0
22,heatwave,2014-03-15,2014-04-02,288.0
22,extreme wind,2013-04-07,2013-04-09,23.0
22,extreme wind,2012-03-28,2012-03-30,18.0
22,extreme wind,2017-05-01,2017-05-07,24.0
22,extreme wind,2011-04-16,2011-04-18,17.0
22,extreme wind,2010-03-16,2010-03-22,24.0
22,heatwave,2005-04-04,2005-04-08,292.0
23,extreme wind,2013-04-07,2013-04-09,23.0
23,extreme wind,2011-04-16,2011-04-18,17.0
23,extreme wind,2017-05-01,2017-05-07,24.0
23,extreme wind,2012-03-28,2012-03-30,18.0
23,heatwave,2005-04-04,2005-04-08,292.0
23,extreme wind,2004-03-15,2004-03-17,16.0
23,extreme wind,2010-03-16,2010-03-22,24.0
24,heatwave,2014-03-15,2014-04-02,288.0
24,heatwave,2013-03-03,2013-03-18,292.0
24,extreme wind,2012-03-28,2012-03-30,18.0
24,extreme wind,2011-04-16,2011-04-18,17.0
24,extreme wind,2008-05-25,2008-05-29,17.0
24,extreme wind,2017-05-01,2017-05-07,24.0
24,extreme wind,2013-04-07,2013-04-09,23.0
24,flood,2010-07-23,2010-08-03,2.0
24,extreme wind,2010-03-16,2010-03-22,24.0
25,heatwave,2014-03-15,2014-04-02,288.0
25,extreme wind,2017-05-01,2017-05-07,24.0
25,extreme wind,2012-03-28,2012-03-30,18.0
25,extreme wind,2010-03-16,2010-03-22,24.0
25,extreme wind,2013-04-07,2013-04-09,23.0
25,heatwave,2005-04-04,2005-04-08,292.0
25,extreme wind,2004-03-15,2004-03-17,16.0
25,extreme wind,2011-04-16,2011-04-18,17.0
26,heatwave,2014-03-15,2014-04-02,288.0
26,extreme wind,2017-05-01,2017-05-07,24.0
26,extreme wind,2004-03-15,2004-03-17,16.0
26,extreme wind,2012-03-28,2012-03-30,18.0
26,extreme wind,2011-04-16,2011-04-18,17.0
26,heatwave,2005-04-04,2005-04-08,292.0
26,extreme wind,2010-03-16,2010-03-22,24.0
26,extreme wind,2013-04-07,2013-04-09,23.0
27,heatwave,2014-03-15,2014-04-02,288.0
27,extreme wind,2011-04-16,2011-04-18,17.0
27,extreme wind,2004-03-15,2004-03-17,16.0
27,heatwave,2005-04-04,2005-04-08,292.0
27,extreme wind,2013-04-07,2013-04-09,23.0
27,extreme wind,2010-03-16,2010-03-22,24.0
27,extreme wind,2012-03-28,2012-03-30,18.0
28,heatwave,2014-03-15,2014-04-02,288.0
28,extreme wind,2013-04-07,2013-04-09,23.0
28,extreme wind,2017-05-01,2017-05-07,24.0
28,heatwave,2005-04-04,2005-04-08,292.0
28,extreme wind,2004-03-15,2004-03-17,16.0
28,extreme wind,2011-04-16,2011-04-18,17.0
28,extreme wind,2010-03-16,2010-03-22,24.0
28,extreme wind,2012-03-28,2012-03-30,18.0
29,extreme wind,2004-03-15,2004-03-17,16.0
29,extreme wind,2012-03-28,2012-03-30,18.0
29,extreme wind,2017-05-01,2017-05-07,24.0
29,extreme wind,2011-04-16,2011-04-18,17.0
29,heatwave,2005-04-04,2005-04-08,292.0
29,extreme wind,2013-04-07,2013-04-09,23.0
29,extreme wind,2010-03-16,2010-03-22,24.0
30,heatwave,2014-03-15,2014-04-02,288.0
30,extreme wind,2012-03-28,2012-03-30,18.0
30,extreme wind,2017-05-01,2017-05-07,24.0
30,extreme wind,2004-03-15,2004-03-17,16.0
30,extreme wind,2013-04-07,2013-04-09,23.0
30,heatwave,2005-04-04,2005-04-08,292.0
30,extreme wind,2010-03-16,2010-03-22,24.0
30,extreme wind,2011-04-16,2011-04-18,17.0
31,extreme wind,2017-05-01,2017-05-07,24.0
31,extreme wind,2011-04-16,2011-04-18,17.0
31,extreme wind,2004-03-15,2004-03-17,16.0
31,extreme wind,2013-04-07,2013-04-09,23.0
31,extreme wind,2010-03-16,2010-03-22,24.0
31,extreme wind,2012-03-28,2012-03-30,18.0
32,heatwave,2007-01-03,2007-02-13,290.0
32,heatwave,2014-03-15,2014-04-02,288.0
32,heatwave,2005-04-04,2005-04-08,292.0
32,extreme wind,2017-05-01,2017-05-07,24.0
32,extreme wind,2010-03-15,2010-03-15,20.0
