县编号,0-0.1 负荷密度 出现次数,0-0.1 负荷密度 总和,0.1-1 负荷密度 出现次数,0.1-1 负荷密度 总和,1-6 负荷密度 出现次数,1-6 负荷密度 总和,6-15 负荷密度 出现次数,6-15 负荷密度 总和,15-30 负荷密度 出现次数,15-30 负荷密度 总和,大于30 负荷密度 出现次数,大于30 负荷密度 总和,大于80 负荷密度 出现次数,大于80 负荷密度 总和
1,66,5.363607354504857,1616,646.6825133179204,544,1098.1026256767134,218,1924.153696161789,158,3054.299953768411,18,1096.412478727766,8,796.5801155155052
2,36,2.438694369472043,378,159.39643307758183,90,153.12456888180844,0,0.0,0,0.0,0,0.0,0,0.0
3,0,0.0,84,60.54419671934625,208,492.25845257200547,46,401.46424552384144,10,177.09827064276536,6,363.6383239806752,6,578.7896297485977
4,122,4.899240999135097,202,63.58629116762069,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5,264,10.823616940515828,564,84.39495760057308,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6,258,14.266343218279426,642,91.75371942240746,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
7,644,39.199526552576984,220,34.339663151852754,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
8,118,0.0,282,163.07982503174364,931,2977.221674218244,209,1771.3927962560713,74,1429.9872954690952,2,62.05233964357413,4,468.22758659102067
9,0,0.0,473,334.3689764327389,67,89.70518130511324,0,0.0,0,0.0,0,0.0,0,0.0
10,0,0.0,606,328.9716386514445,6,8.023594210854087,0,0.0,0,0.0,0,0.0,0,0.0
11,2,0.0,466,268.38395170701716,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
12,338,3.386251677479083,14,9.317141556239124,156,346.2518923400801,26,166.9925375546746,6,122.55230979339179,0,0.0,0,0.0
13,70,2.466071537768948,516,312.4217997810727,26,36.27441069042535,0,0.0,0,0.0,0,0.0,0,0.0
14,0,0.0,12,8.749214716929298,58,164.16623177262443,2,17.527922541662797,0,0.0,0,0.0,0,0.0
15,0,0.0,492,213.6108233287641,36,81.52133096119198,8,71.20052403260601,4,79.33727363196512,0,0.0,0,0.0
16,0,0.0,74,55.2590071522803,142,271.0293943340393,0,0.0,0,0.0,0,0.0,0,0.0
17,0,0.0,148,102.31153500903724,8,25.110109666294754,24,201.93632134785122,0,0.0,0,0.0,0,0.0
18,66,3.7169773769063936,354,136.86510450328072,12,14.662323699207871,0,0.0,0,0.0,0,0.0,0,0.0
19,94,4.713135022395173,278,128.90490542770488,24,39.57865519527735,0,0.0,0,0.0,0,0.0,0,0.0
20,0,0.0,10,6.006879710149519,62,93.16759292331541,0,0.0,0,0.0,0,0.0,0,0.0
21,0,0.0,58,49.5807248370567,50,59.09202338913655,0,0.0,0,0.0,0,0.0,0,0.0
22,4,0.3501238450601587,192,105.04744233077804,128,166.83265579539307,0,0.0,0,0.0,0,0.0,0,0.0
23,0,0.0,60,56.372014734930104,156,227.38386763867075,0,0.0,0,0.0,0,0.0,0,0.0
24,28,1.315762920343098,944,288.7796173266128,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
25,0,0.0,160,65.9554769349472,122,181.82285811478687,2,13.098725126390157,4,90.61567364772628,0,0.0,0,0.0
26,0,0.0,38,20.998891750709042,214,299.65177145121356,0,0.0,0,0.0,0,0.0,0,0.0
27,0,0.0,184,98.50704700100391,176,294.73920375219427,0,0.0,0,0.0,0,0.0,0,0.0
28,0,0.0,78,58.348481758402876,210,357.56500505878665,0,0.0,0,0.0,0,0.0,0,0.0
29,0,0.0,2,1.5514049539749992,178,289.05504858713834,0,0.0,0,0.0,0,0.0,0,0.0
30,0,0.0,124,96.67946227780011,56,73.28150420036766,0,0.0,0,0.0,0,0.0,0,0.0
31,0,0.0,72,31.128876426139822,50,107.34249375160556,60,538.7747184350468,34,699.6699958152078,0,0.0,0,0.0
32,0,0.0,18,15.384203283907075,306,616.4211309882608,0,0.0,0,0.0,0,0.0,0,0.0
33,0,0.0,52,45.02639650399,416,707.976761320586,0,0.0,0,0.0,0,0.0,0,0.0
34,0,0.0,134,77.80951976308441,226,427.24079885724166,0,0.0,0,0.0,0,0.0,0,0.0
35,2,0.0,487,357.1407304452571,123,181.18812160278947,0,0.0,0,0.0,0,0.0,0,0.0
36,28,0.0,362,267.555122035683,78,103.78520154881397,0,0.0,0,0.0,0,0.0,0,0.0
37,48,4.51890971854062,420,294.93252869553635,144,254.30028347828335,0,0.0,0,0.0,0,0.0,0,0.0
38,0,0.0,44,38.658282953662145,316,464.82878904445545,0,0.0,0,0.0,0,0.0,0,0.0
39,0,0.0,152,119.46048655440963,64,98.04744417411545,0,0.0,0,0.0,0,0.0,0,0.0
40,14,1.3572890914803772,254,198.30097539273635,236,327.53089699651593,0,0.0,0,0.0,0,0.0,0,0.0
41,0,0.0,80,67.00702137573242,340,580.743611868216,10,110.78535459480432,2,57.53615743448029,0,0.0,0,0.0
42,88,7.826810946207632,64,20.325117476631586,308,785.712855871439,8,53.18422166099923,0,0.0,0,0.0,0,0.0
43,2,0.0,112,36.06108851563158,12,52.02905264013128,18,196.3589910579655,0,0.0,0,0.0,0,0.0
