,province,provinceid,功率密度70,功率密度100
0,安徽,1,128.94,166.92
1,北京,2,134.09,169.7
2,福建,3,111.47,134.95
3,甘肃,4,205.52,232.34
4,广东,5,132.24,164
5,广西,6,162.9,197.26
6,贵州,7,133.08,163.78
7,海南,8,133.47,161.19
8,河北,9,175.27,220.71
9,河南,10,135.91,172.72
10,黑龙江,12,226.4,292.22
11,湖北,13,102.33,127.86
12,湖南,14,120.21,151.24
13,吉林,15,249.38,318.81
14,江西,16,117,149.21
15,江苏,17,144.9,189.74
16,辽宁,18,225.3,288.54
17,内蒙古,20,284.44,350.59
18,宁夏,21,182.74,218.85
19,青海,22,197.22,229.73
20,四川,23,127.47,147.64
21,陕西,24,121.53,146.1
22,山东,25,164.78,215.33
23,上海,26,190.41,233.73
24,山西,27,160.36,186.96
25,天津,28,153.33,207.38
26,新疆,30,207.2,231.38
27,西藏,31,215.26,249.85
28,云南,32,122.96,139.72
29,浙江,33,117.55,142.84
30,重庆,34,85.18,103.02
31,香港,11,0,0
32,澳门,19,0,0
33,台湾,29,0,0
